timestamp,front_m,back_m,left_m,right_m,up_m,zrange_m
50519,0.643,,2.388,1.052,,0.32
50569,0.639,,2.388,1.052,,0.323
50619,0.639,,,1.055,,0.32
50669,0.637,,,1.055,,0.319
50719,0.637,,2.373,1.06,,0.322
50769,0.638,,2.373,1.06,,0.324
50819,0.638,,,1.074,,0.323
50869,0.638,,,1.074,,0.321
50919,0.638,,,1.089,,0.325
50969,0.645,,,1.089,,0.325
51019,0.645,,2.429,1.107,,0.322
51069,0.648,,2.429,1.107,,0.316
51119,0.648,,2.414,1.128,,0.319
51169,0.663,,2.414,1.128,,0.318
51219,0.663,,,1.153,,0.32
51269,0.678,2.007,,1.153,,0.318
51319,0.678,2.007,,1.162,,0.319
51369,0.688,1.921,,1.162,,0.322
51419,0.688,1.921,,1.15,,0.32
51469,0.706,1.83,,1.15,,0.318
51519,0.706,1.83,,1.107,,0.316
51569,0.722,1.757,,1.107,,0.318
51619,0.722,1.757,,1.031,,0.318
51669,0.749,1.656,,1.031,,0.32
51719,0.749,1.656,2.885,0.943,,0.317
51769,0.778,1.563,2.885,0.943,,0.318
51819,0.778,1.563,,0.87,,0.317
51869,0.813,1.479,,0.87,,0.319
51919,0.813,1.479,,0.825,,0.318
51969,0.856,1.413,,0.825,,0.321
52019,0.856,1.413,,0.777,,0.317
52069,0.904,1.358,,0.777,,0.317
52119,0.904,1.358,,0.739,,0.317
52169,0.957,1.308,,0.739,,0.317
52219,0.957,1.308,,0.703,,0.316
52269,1.035,1.261,,0.703,,0.316
52319,1.035,1.261,,0.678,,0.32
52369,1.127,1.225,,0.678,,0.318
52419,1.127,1.225,,0.658,,0.314
52469,1.23,1.199,,0.658,,0.317
52519,1.23,1.199,,0.643,,0.315
52569,1.35,1.179,,0.643,,0.316
52619,1.35,1.179,,0.638,,0.316
52669,,1.159,,0.638,,0.315
52719,,1.159,,0.629,,0.317
52769,2.274,1.139,,0.629,,0.315
52819,2.274,1.139,,0.62,,0.32
52869,2.332,1.118,,0.62,,0.32
52919,2.332,1.118,,0.615,,0.318
52969,2.36,1.107,,0.615,,0.319
53019,2.36,1.107,,0.61,,0.318
53069,2.366,1.104,,0.61,,0.316
53119,2.366,1.104,,0.607,,0.319
53169,2.354,1.1,,0.607,,0.314
53219,2.354,1.1,,0.606,,0.316
53269,2.351,1.097,,0.606,,0.312
53319,2.351,1.097,,0.601,,0.312
53369,2.345,1.1,,0.601,,0.307
53419,2.345,1.1,,0.602,,0.304
53469,2.281,1.107,,0.602,,0.303
53519,2.281,1.107,,0.603,,0.304
53569,2.258,1.118,,0.603,,0.299
53619,2.258,1.118,,0.605,,0.303
53669,2.247,1.135,,0.605,,0.3
53719,2.247,1.135,,0.609,,0.301
53769,2.226,1.163,,0.609,,0.299
53819,2.226,1.163,,0.612,,0.3
53869,2.238,1.19,,0.612,,0.299
53919,2.238,1.19,,0.615,,0.299
53969,2.237,1.229,,0.615,,0.302
54019,2.237,1.229,,0.614,,0.305
54069,2.197,1.258,,0.614,,0.308
54119,2.197,1.258,,0.61,,0.308
54169,2.181,1.292,,0.61,,0.312
54219,2.181,1.292,,0.612,,0.31
54269,2.147,1.322,,0.612,,0.311
54319,2.147,1.322,,0.609,,0.309
54369,2.113,1.352,,0.609,,0.309
54419,2.113,1.352,,0.604,,0.309
54469,2.094,1.38,,0.604,,0.308
54519,2.094,1.38,,0.599,,0.309
54569,2.071,1.403,,0.599,,0.307
54619,2.071,1.403,,0.595,,0.303
54669,2.033,1.437,,0.595,,0.304
54719,2.033,1.437,,0.588,,0.307
54769,2.014,1.463,,0.588,,0.308
54819,2.014,1.463,,0.585,,0.308
54869,1.979,1.483,,0.585,,0.302
54919,1.979,1.483,,0.582,,0.3
54969,1.949,1.514,,0.582,,0.302
55019,1.949,1.514,,0.586,,0.301
55069,1.915,1.549,,0.586,,0.301
55119,1.915,1.549,,0.576,,0.3
55169,1.882,1.571,,0.576,,0.301
55219,1.882,1.571,,0.58,,0.305
55269,1.858,1.602,,0.58,,0.305
55319,1.858,1.602,,0.577,,0.307
55369,1.833,1.634,,0.577,,0.308
55419,1.833,1.634,,0.571,,0.308
55469,1.807,1.657,,0.571,,0.306
55519,1.807,1.657,,0.568,,0.306
55569,1.765,1.692,,0.568,,0.305
55619,1.765,1.692,,0.566,,0.306
55669,1.739,1.71,,0.566,,0.306
55719,1.739,1.71,,0.565,,0.307
55769,1.714,1.745,,0.565,,0.307
55819,1.714,1.745,,0.565,,0.307
55869,1.681,1.778,,0.565,,0.309
55919,1.681,1.778,,0.566,,0.308
55969,1.661,1.804,,0.566,,0.312
56019,1.661,1.804,,0.568,,0.311
56069,1.635,1.843,,0.568,,0.311
56119,1.635,1.843,,0.565,,0.31
56169,1.597,1.861,,0.565,,0.307
56219,1.597,1.861,,0.563,,0.308
56269,1.56,1.906,,0.563,,0.303
56319,1.56,1.906,,0.564,,0.301
56369,1.526,1.934,,0.564,,0.297
56419,1.526,1.934,,0.565,,0.299
56469,1.496,1.952,,0.565,,0.298
56519,1.496,1.952,,0.563,,0.296
56569,1.463,1.984,,0.563,,0.299
56619,1.463,1.984,,0.567,,0.298
56669,1.428,2.015,,0.567,,0.302
56719,1.428,2.015,,0.566,,0.301
56769,1.393,2.058,,0.566,,0.3
56819,1.393,2.058,,0.57,,0.303
56869,1.362,2.085,,0.57,,0.303
56919,1.362,2.085,,0.568,,0.3
56969,1.332,2.111,,0.568,,0.301
57019,1.332,2.111,,0.573,,0.301
57069,1.304,2.157,,0.573,,0.303
57119,1.304,2.157,,0.579,,0.299
57169,1.278,2.173,,0.579,,0.302
57219,1.278,2.173,,0.583,,0.302
57269,1.244,2.219,,0.583,,0.303
57319,1.244,2.219,,0.585,,0.302
57369,1.215,2.239,,0.585,,0.302
57419,1.215,2.239,,0.589,,0.301
57469,1.187,2.258,,0.589,,0.305
57519,1.187,2.258,,0.59,,0.302
57569,1.163,2.303,,0.59,,0.3
57619,1.163,2.303,,0.594,,0.3
57669,1.127,2.33,,0.594,,0.302
57719,1.127,2.33,,0.598,,0.303
57769,1.094,2.364,,0.598,,0.305
57819,1.094,2.364,,0.601,,0.304
57869,1.072,2.383,,0.601,,0.307
57919,1.072,2.383,0.501,0.606,,0.307
57969,1.044,2.405,0.501,0.606,,0.306
58019,1.044,2.405,0.478,0.608,,0.304
58069,1.008,2.456,0.478,0.608,,0.304
58119,1.008,2.456,0.456,0.611,,0.309
58169,0.981,2.473,0.456,0.611,,0.308
58219,0.981,2.473,0.45,0.611,,0.308
58269,0.95,2.494,0.45,0.611,,0.312
58319,0.95,2.494,0.447,0.612,,0.309
58369,0.923,2.52,0.447,0.612,,0.313
58419,0.923,2.52,0.445,0.615,,0.314
58469,0.898,2.546,0.445,0.615,,0.313
58519,0.898,2.546,0.445,0.612,,0.309
58569,0.87,2.593,0.445,0.612,,0.31
58619,0.87,2.593,0.451,0.609,,0.307
58669,0.843,2.623,0.451,0.609,,0.308
58719,0.843,2.623,0.452,0.602,,0.308
58769,0.817,2.622,0.452,0.602,,0.305
58819,0.817,2.622,0.457,0.601,,0.307
58869,0.787,2.609,0.457,0.601,,0.305
58919,0.787,2.609,0.461,0.598,,0.31
58969,0.763,,0.461,0.598,,0.311
59019,0.763,,0.459,0.593,,0.308
59069,0.741,2.581,0.459,0.593,,0.311
59119,0.741,2.581,0.459,0.594,,0.311
59169,0.735,2.632,0.459,0.594,,0.306
59219,0.735,2.632,0.459,0.595,,0.305
59269,0.723,2.653,0.459,0.595,,0.301
59319,0.723,2.653,0.455,0.594,,0.303
59369,0.718,2.697,0.455,0.594,,0.302
59419,0.718,2.697,0.457,0.598,,0.3
59469,0.715,2.727,0.457,0.598,,0.299
59519,0.715,2.727,0.455,0.601,,0.3
59569,0.71,2.723,0.455,0.601,,0.302
59619,0.71,2.723,0.452,0.598,,0.302
59669,0.703,2.674,0.452,0.598,,0.303
59719,0.703,2.674,0.45,0.6,,0.302
59769,0.704,2.555,0.45,0.6,,0.303
59819,0.704,2.555,0.449,0.602,,0.306
59869,0.707,,0.449,0.602,,0.303
59919,0.707,,0.45,0.606,,0.304
59969,0.718,2.569,0.45,0.606,,0.302
60019,0.718,2.569,0.443,0.611,,0.301
60069,0.733,2.612,0.443,0.611,,0.303
60119,0.733,2.612,0.439,0.615,,0.298
60169,0.754,2.637,0.439,0.615,,0.299
60219,0.754,2.637,0.433,0.619,,0.295
60269,0.776,2.614,0.433,0.619,,0.296
60319,0.776,2.614,0.434,0.622,,0.299
60369,0.799,2.608,0.434,0.622,,0.298
60419,0.799,2.608,0.431,0.626,,0.297
60469,0.814,2.599,0.431,0.626,,0.299
60519,0.814,2.599,0.425,0.629,,0.299
60569,0.833,,0.425,0.629,,0.298
60619,0.833,,0.42,0.632,,0.298
60669,0.846,2.558,0.42,0.632,,0.299
60719,0.846,2.558,0.423,0.637,,0.299
60769,0.867,2.532,0.423,0.637,,0.299
60819,0.867,2.532,0.416,0.639,,0.299
60869,0.879,2.485,0.416,0.639,,0.301
60919,0.879,2.485,0.415,0.64,,0.301
60969,0.903,2.49,0.415,0.64,,0.304
61019,0.903,2.49,0.414,0.641,,0.302
61069,0.926,2.481,0.414,0.641,,0.304
61119,0.926,2.481,0.411,0.643,,0.3
61169,0.948,2.454,0.411,0.643,,0.301
61219,0.948,2.454,0.416,0.641,,0.304
61269,0.971,,0.416,0.641,,0.3
61319,0.971,,0.416,0.642,,0.299
61369,0.995,2.428,0.416,0.642,,0.301
61419,0.995,2.428,0.424,0.645,,0.299
61469,1.018,2.405,0.424,0.645,,0.297
61519,1.018,2.405,0.441,0.649,,0.297
61569,1.044,2.382,0.441,0.649,,0.3
61619,1.044,2.382,0.475,0.647,,0.299
61669,1.073,2.359,0.475,0.647,,0.302
61719,1.073,2.359,0.529,0.648,,0.303
61769,1.097,,0.529,0.648,,0.302
61819,1.097,,,0.65,,0.305
61869,1.12,,,0.65,,0.305
61919,1.12,,0.734,0.654,,0.308
61969,1.143,2.316,0.734,0.654,,0.305
62019,1.143,2.316,,0.655,,0.302
62069,1.161,2.306,,0.655,,0.304
62119,1.161,2.306,,0.656,,0.303
62169,1.166,2.311,,0.656,,0.303
62219,1.166,2.311,0.799,0.659,,0.301
62269,1.168,2.299,0.799,0.659,,0.301
62319,1.168,2.299,,0.659,,0.303
62369,1.156,2.287,,0.659,,0.303
62419,1.156,2.287,,0.657,,0.301
62469,1.121,,,0.657,,0.303
62519,1.121,,,0.659,,0.303
62569,1.065,2.268,,0.659,,0.304
62619,1.065,2.268,,0.658,,0.304
62669,1.021,,,0.658,,0.306
62719,1.021,,,0.66,,0.303
62769,,2.278,,0.66,,0.304
62819,,2.278,,0.666,,0.306
62869,0.905,2.291,,0.666,,0.303
62919,0.905,2.291,,0.67,,0.303
62969,1.059,2.316,,0.67,,0.307
63019,1.059,2.316,,0.677,,0.309
63069,1.125,2.29,,0.677,,0.31
63119,1.125,2.29,,0.686,,0.307
63169,1.191,2.239,,0.686,,0.309
